Ticker;Companyia;Sector;Indústria;Continent;Pais;Moneda;Valor de mercat;Benefici Net;Patrimoni Net;EPS_t;EPS_(t-1);Cash Flow Operatiu;CAPEX;Benefici Operatiu;Ingressos;Deute total;EBITDA;Actiu Corrent;Passiu Corrent;Cash + Short Term Investments;Enterprise Value;Preu;Ticker Yahoo
AAPL;Apple;Information Technology;Computer Hardware;North America;United States;USD;483.100,00;39.510,00;111.547,00;1,61;1,42;59.713,00;-9.571,00;52.503,00;182.795,00;28.987,00;60.449,00;68.531,00;63.448,00;25.077,00;487.010,00;24,45;AAPL
XOM;Exxon Mobil;Energy;Oil & Gas Operations;North America;United States;USD;422.300,00;32.520,00;181.064,00;7,60;7,37;45.116,00;-32.952,00;51.630,00;411.939,00;11.653,00;69.213,00;52.910,00;64.633,00;4.658,00;429.295,00;57,28;XOM
GOOG;Google;Information Technology;Computer Services;North America;United States;USD;382.500,00;14.136,00;103.860,00;1,03;0,94;23.024,00;-10.959,00;16.496,00;66.001,00;3.228,00;21.475,00;78.656,00;16.779,00;64.395,00;321.333,00;26,03;GOOG
MSFT;Microsoft;Information Technology;Software & Programming;North America;United States;USD;343.800,00;22.074,00;89.784,00;2,63;2,58;32.502,00;-5.485,00;27.759,00;86.833,00;20.645,00;32.971,00;114.246,00;45.625,00;85.709,00;278.736,00;39,46;MSFT
JNJ;Johnson & Johnson;Health Care;Medical Equipment & Supplies;North America;United States;USD;277.000,00;16.323,00;69.752,00;5,70;4,81;18.710,00;917,00;20.563,00;74.331,00;15.122,00;25.058,00;55.744,00;25.031,00;33.089,00;259.033,00;76,59;JNJ
RHHBY;Roche Holding AG;Health Care;Pharmaceuticals;Europe;Switzerland;USD;253.700,00;10.212,01;23.590,92;1,48;0,87;17.432,20;-3.175,66;15.418,69;54.568,36;21.171,42;15.418,69;34.048,05;25.287,08;12.806,59;262.064,83;22,89;RHHBY
WMT;Wal-Mart Stores;Consumer Discretionary;Discount Stores;North America;United States;USD;247.900,00;16.022,00;81.339,00;1,63;1,67;23.257,00;-12.388,00;26.872,00;476.294,00;44.559,00;35.742,00;61.185,00;69.345,00;7.281,00;285.178,00;23,16;WMT
NSRGY;Nestle;Consumer Staples;Food Processing;Europe;Switzerland;USD;239.600,00;15.819,20;78.662,70;4,95;3,38;16.086,21;-4.283,09;11.933,34;100.527,90;13.564,90;17.392,81;37.163,50;35.997,00;9.718,48;243.446,42;53,32;NSRGY
NVS;Novartis;Health Care;Pharmaceuticals;Europe;Switzerland;USD;227.400,00;10.210,00;70.844,00;4,13;3,70;13.897,00;-2.564,00;11.089,00;53.634,00;13.799,00;11.089,00;37.561,00;26.973,00;13.862,00;227.337,00;53,91;NVS
CVX;Chevron;Energy;Oil & Gas Operations;North America;United States;USD;227.200,00;19.241,00;156.191,00;10,14;11,09;31.475,00;-35.407,00;31.202,00;211.970,00;24.028,00;47.995,00;42.232,00;31.926,00;13.215,00;238.013,00;69,28;CVX
PFE;Pfizer;Health Care;Pharmaceuticals;North America;United States;USD;203.900,00;9.135,00;71.622,00;1,42;3,19;17.084,00;-1.199,00;13.249,00;49.605,00;31.541,00;18.786,00;55.595,00;21.587,00;36.122,00;199.319,00;18,28;PFE
IBM;IBM;Information Technology;Computer Services;North America;United States;USD;202.500,00;12.022,00;12.014,00;11,90;14,94;16.868,00;-3.336,00;17.790,00;92.793,00;34.991,00;22.282,00;47.377,00;39.581,00;8.476,00;229.015,00;96,59;IBM
VZ;Verizon Communications;Telecommunication Services;Telecommunications services;North America;United States;USD;197.700,00;9.625,00;13.676,00;2,42;4,00;30.631,00;-17.191,00;19.599,00;127.079,00;110.536,00;36.132,00;29.499,00;27.987,00;11.153,00;297.083,00;26,01;VZ
TM;Toyota Motor;Consumer Discretionary;Auto & Truck Manufacturers;Asia;Japan;USD;193.500,00;18.231,19;152.189,90;11,50;6,46;36.460,30;-18.951,60;22.921,13;256.919,10;85.469,10;35.429,66;157.177,10;146.806,80;42.682,54;236.286,56;89,96;TM
ORCL;Oracle;Information Technology;Software & Programming;North America;United States;USD;185.000,00;10.955,00;47.447,00;2,38;2,26;14.921,00;-580,00;14.759,00;38.275,00;22.589,00;17.667,00;48.128,00;14.389,00;38.819,00;168.770,00;37,89;ORCL
CHL;China Mobile;Telecommunication Services;Telecommunications services;Asia;Hong Kong;USD;184.600,00;17.790,62;139.787,10;4,36;4,94;34.354,38;-27.802,20;19.101,97;104.427,70;812,70;38.040,66;77.750,52;70.309,41;68.629,48;116.783,22;44,65;CHL
T;AT&T;Telecommunication Services;Telecommunications services;North America;United States;USD;182.700,00;6.442,00;90.270,00;1,24;3,42;31.338,00;-21.199,00;12.212,00;132.447,00;75.778,00;30.485,00;33.606,00;37.282,00;8.603,00;249.875,00;11,42;T
BHP;BHP Billiton;Materials;Diversified Metals & Mining;Australia;Australia;USD;182.300,00;13.832,00;85.382,00;5,18;4,20;25.364,00;-15.512,00;23.127,00;56.762,00;30.327,00;30.843,00;22.296,00;18.064,00;8.890,00;203.737,00;20,13;BHP
BUD;Anheuser-Busch InBev;Consumer Staples;Beverages;Europe;Belgium;USD;171.200,00;9.216,00;54.257,00;5,54;8,72;14.144,00;-4.122,00;15.031,00;47.063,00;43.630,00;18.384,00;18.541,00;27.208,00;10.395,00;204.435,00;91,47;BUD
KO;Coca-Cola;Consumer Staples;Beverages;North America;United States;USD;168.700,00;7.098,00;30.561,00;1,60;1,90;10.615,00;-2.183,00;9.708,00;45.998,00;19.063,00;11.684,00;32.986,00;32.374,00;21.675,00;166.088,00;29,64;KO
MRK;Merck & Co;Health Care;Pharmaceuticals;North America;United States;USD;165.800,00;11.920,00;48.791,00;4,07;1,47;7.989,00;-1.317,00;6.683,00;42.237,00;18.699,00;13.374,00;32.605,00;18.397,00;15.719,00;168.780,00;38,22;MRK
META;Facebook;Information Technology;Computer Services;North America;United States;USD;159.700,00;2.925,00;36.096,00;1,10;0,60;7.326,00;-1.831,00;4.994,00;12.466,00;119,00;6.237,00;13.390,00;1.424,00;11.199,00;148.620,00;77,41;META
AMZN;Amazon.com;Consumer Discretionary;Internet & Catalog Retail;North America;United States;USD;157.500,00;-241,00;10.741,00;-0,03;0,03;6.842,00;-4.893,00;178,00;88.988,00;8.265,00;4.924,00;31.327,00;28.089,00;17.416,00;148.349,00;15,52;AMZN
TTE;TotalEnergies SE;Energy;Oil & Gas Operations;Europe;France;USD;149.800,00;4.244,00;93.531,00;1,86;4,94;25.608,00;-22.878,00;10.697,00;212.018,00;45.481,00;31.556,00;77.977,00;53.673,00;26.474,00;168.807,00;21,64;TTE
WFC;Wells Fargo;Financials;Major Banks;North America;United States;USD;261.400,00;21.821,00;185.262,00;4,10;3,89;17.529,00;;33.915,00;88.372,00;183.943,00;;1.226.745,00;1.317.950,00;356.255,00;;40,05;WFC
JPM;JPMorgan Chase;Financials;Major Banks;North America;United States;USD;229.700,00;20.077,00;231.727,00;5,29;4,34;36.593,00;;30.699,00;103.009,00;306.601,00;;1.940.329,00;1.981.626,00;1.127.099,00;;46,05;JPM
IDCBY;ICBC;Financials;Major Banks;Asia;China;USD;215.600,00;44.902,03;250.273,10;2,54;2,39;32.797,20;-8.165,20;68.105,91;161.721,00;296.208,10;;2.536.096,00;2.623.328,00;782.943,20;;7,11;IDCBY
HSBC;HSBC Holdings;Financials;Major Banks;Europe;United Kingdom;USD;192.600,00;13.115,00;199.978,00;3,45;4,20;-21.372,00;-1.389,00;18.680,00;63.780,00;122.611,00;;1.716.636,00;1.849.900,00;629.827,00;;25,61;HSBC
BAC;Bank of America;Financials;Major Banks;North America;United States;USD;183.300,00;4.476,00;243.471,00;0,42;0,90;30.795,00;;7.963,00;96.829,00;243.139,00;;1.471.360,00;1.571.015,00;529.707,00;;14,11;BAC
CICHY;China Construction Bank;Financials;Regional Banks;Asia;China;USD;174.400,00;37.158,61;203.884,70;2,96;2,78;51.599,62;-5.447,28;48.691,18;100.522,50;70.272,94;;2.133.959,00;2.437.014,00;617.574,20;;6,88;CICHY
