Ticker;Companyia;ROIC (20%);Net Margin (10%);Operating Margin (10%);Current Ratio (10%);PER (10%);TOTAL
AAPL;Apple;1,99;0,83;0,85;0,63;0,70;5,00
XOM;Exxon Mobil;1,75;0,32;0,50;0,42;0,85;3,84
GOOG;Google;1,23;0,83;0,80;0,92;0,49;4,28
MSFT;Microsoft;1,72;0,91;0,89;0,93;0,70;5,15
JNJ;Johnson & Johnson;1,69;0,84;0,84;0,90;0,73;5,00
RHHBY;Roche Holding AG;1,92;0,75;0,84;0,74;0,69;4,95
WMT;Wal-Mart Stores;1,63;0,13;0,23;0,48;0,72;3,19
NSRGY;Nestle;1,04;0,63;0,47;0,61;0,78;3,54
NVS;Novartis;1,05;0,76;0,71;0,76;0,74;4,02
CVX;Chevron;1,39;0,36;0,59;0,73;0,86;3,93
PFE;Pfizer;1,03;0,74;0,82;0,94;0,74;4,27
IBM;IBM;2,00;0,52;0,68;0,68;0,84;4,72
VZ;Verizon Communications;1,26;0,30;0,61;0,62;0,79;3,58
TM;Toyota Motor;0,77;0,28;0,36;0,63;0,84;2,88
ORCL;Oracle;1,62;0,97;0,98;0,98;0,68;5,24
CHL;China Mobile;1,09;0,68;0,67;0,64;0,80;3,87
T;AT&T;0,59;0,19;0,37;0,50;0,82;2,47
BHP;BHP Billiton;1,60;0,89;1,00;0,69;0,92;5,10
BUD;Anheuser-Busch InBev;1,23;0,78;0,89;0,34;0,67;3,91
KO;Coca-Cola;1,57;0,62;0,72;0,61;0,63;4,14
MRK;Merck & Co;0,79;0,96;0,62;0,84;0,81;4,02
META;Facebook;1,10;0,87;1,00;0,70;0,00;3,67
AMZN;Amazon.com;0,07;0,00;0,01;0,65;0,00;0,73
TTE;TotalEnergies SE;0,62;0,08;0,20;0,78;0,77;2,45
WFC;Wells Fargo;0,73;0,89;0,98;0,53;0,80;3,94
JPM;JPMorgan Chase;0,46;0,78;0,86;0,58;0,83;3,50
IDCBY;ICBC;1,00;0,96;1,00;0,57;0,94;4,46
HSBC;HSBC Holdings;0,46;0,81;0,86;0,53;0,85;3,51
BAC;Bank of America;0,13;0,18;0,33;0,54;0,36;1,55
CICHY;China Construction Bank;1,42;1,00;1,00;0,48;0,95;4,85
